name,year,season,episode,imdb,wdwt,genre
Work Later, Drink Now,2021,1,12,7.7,,Comedy
Work Later, Drink Now 2,2022,2,12,7.9,,Comedy
Worst of Evil,2023,1,12,7.8,,Action
W: Two Worlds Apart,2016,1,16,8.0,,Fantasy
X in the City,2026,1,,,Drama
Yonder,2022,1,6,6.3,,Sci Fi
You Are My Spring,2021,1,16,7.4,,Drama
You're All Surrounded,2014,1,20,7.8,,Action
Yumi's Cells,2021,1,14,7.9,,Rom Com
Yumi's Cells 2,2022,2,14,8.0,,Rom Com
